REGION,STATE,CITY,POPULATION
Northeast,New York,"New York, NY",8622698
Pacific,California,"Los Angeles, CA",3999759
Midwest,Illinois,"Chicago, IL",2716450
South,Texas,"Houston, TX",2312717
Mountain,Arizona,"Phoenix, AZ",1626078
Northeast,Pennsylvania,"Philadelphia, PA",1580863
South,Texas,"San Antonio, TX",1511946
Pacific,California,"San Diego, CA",1419516
South,Texas,"Dallas, TX",1341075
Pacific,California,"San Jose, CA",1035317
South,Texas,"Austin, TX",950715
South,Florida,"Jacksonville, FL",892062
Pacific,California,"San Francisco, CA",884363
Midwest,Ohio,"Columbus, OH",879170
South,Texas,"Fort Worth, TX",874168
South,North Carolina,"Charlotte, NC",859035
Pacific,Washington,"Seattle, WA",724745
Mountain,Colorado,"Denver, CO",704621
Northeast,Massachusetts,"Boston, MA",685094
South,Texas,"El Paso, TX",683577
Midwest,Michigan,"Detroit, MI",673104
South,Tennessee,"Memphis, TN",652236
Pacific,Oregon,"Portland, OR",647805
South,Oklahoma,"Oklahoma City, OK",643648
Mountain,Nevada,"Las Vegas, NV",641676
South,Maryland,"Baltimore, MD",611648
Midwest,Wisconsin,"Milwaukee, WI",595351
Mountain,New Mexico,"Albuquerque, NM",558545
Mountain,Arizona,"Tucson, AZ",535677
Pacific,California,"Fresno, CA",527438
Pacific,California,"Sacramento, CA",501901
Mountain,Arizona,"Mesa, AZ",496401
Midwest,Missouri,"Kansas City, MO",488943
South,Georgia,"Atlanta, GA",486290
Pacific,California,"Long Beach, CA",469450
Midwest,Nebraska,"Omaha, NE",466893
South,North Carolina,"Raleigh, NC",464758
Mountain,Colorado,"Colorado Springs, CO",464474
South,Florida,"Miami, FL",463347
South,Virginia,"Virginia Beach, VA",450435
Pacific,California,"Oakland, CA",425195
Midwest,Minnesota,"Minneapolis, MN",422331
South,Oklahoma,"Tulsa, OK",401800
South,Texas,"Arlington, TX",396394
South,Louisiana,"New Orleans, LA",393292
Midwest,Kansas,"Wichita, KS",390591
Midwest,Ohio,"Cleveland, OH",385525
South,Florida,"Tampa, FL",385430
Pacific,California,"Bakersfield, CA",380874
Mountain,Colorado,"Aurora, CO",366623
Pacific,California,"Anaheim, CA",352497
Pacific,California,"Santa Ana, CA",334136
Pacific,California,"Riverside, CA",327728
South,Texas,"Corpus Christi, TX",325605
Pacific,California,"Stockton, CA",310496
Midwest,Missouri,"St. Louis, MO",308626
Midwest,Minnesota,"St. Paul, MN",306621
Mountain,Nevada,"Henderson, NV",302539
Northeast,Pennsylvania,"Pittsburgh, PA",302407
Midwest,Ohio,"Cincinnati, OH",301301
South,North Carolina,"Greensboro, NC",290222
South,Texas,"Plano, TX",286143
Northeast,New Jersey,"Newark, NJ",285154
Midwest,Nebraska,"Lincoln, NE",284736
South,Florida,"Orlando, FL",280257
Pacific,California,"Irvine, CA",277453
Midwest,Ohio,"Toledo, OH",276491
Northeast,New Jersey,"Jersey City, NJ",270753
Pacific,California,"Chula Vista, CA",270471
South,North Carolina,"Durham, NC",267743
Midwest,Indiana,"Fort Wayne, IN",265904
South,Florida,"St. Petersburg, FL",263255
South,Texas,"Laredo, TX",260654
Northeast,New York,"Buffalo, NY",258612
Midwest,Wisconsin,"Madison, WI",255214
South,Texas,"Lubbock, TX",253888
Mountain,Arizona,"Chandler, AZ",253458
Mountain,Arizona,"Scottsdale, AZ",249950
Mountain,Nevada,"Reno, NV",248853
Mountain,Arizona,"Glendale, AZ",246709
South,Virginia,"Norfolk, VA",244703
South,North Carolina,"Winston-Salem, NC",244605
Mountain,Nevada,"North Las Vegas, NV",242975
South,Virginia,"Chesapeake, VA",240397
South,Texas,"Irving, TX",240373
South,Florida,"Hialeah, FL",239673
South,Texas,"Garland, TX",238002
Pacific,California,"Fremont, CA",234962
South,Virginia,"Richmond, VA",227032
Mountain,Idaho,"Boise City, ID",226570
Midwest,Iowa,"Des Moines, IA",217521
Pacific,Washington,"Spokane, WA",217108
Pacific,California,"San Bernardino, CA",216995
Pacific,California,"Modesto, CA",214221
Pacific,Washington,"Tacoma, WA",213418
Pacific,California,"Fontana, CA",211815
Pacific,California,"Santa Clarita, CA",210888
South,Alabama,"Birmingham, AL",210710
Pacific,California,"Oxnard, CA",210037
South,North Carolina,"Fayetteville, NC",209889
Northeast,New York,"Rochester, NY",208046
Pacific,California,"Moreno Valley, CA",207226
Pacific,California,"Glendale, CA",203054
Northeast,New York,"Yonkers, NY",202019
Pacific,California,"Huntington Beach, CA",201874
Midwest,Illinois,"Aurora, IL",200965
Mountain,Utah,"Salt Lake City, UT",200544
South,Texas,"Amarillo, TX",199826
South,Alabama,"Montgomery, AL",199518
Midwest,Michigan,"Grand Rapids, MI",198829
South,Arkansas,"Little Rock, AR",198606
Midwest,Ohio,"Akron, OH",197846
South,Alabama,"Huntsville, AL",194585
South,Georgia,"Columbus, GA",194058
South,Texas,"Grand Prairie, TX",193837
South,Louisiana,"Shreveport, LA",192036
Midwest,Kansas,"Overland Park, KS",191278
South,Florida,"Tallahassee, FL",191049
South,Alabama,"Mobile, AL",190265
South,Florida,"Port St. Lucie, FL",189344
South,Tennessee,"Knoxville, TN",187347
Northeast,Massachusetts,"Worcester, MA",185677
Mountain,Arizona,"Tempe, AZ",185038
South,Florida,"Cape Coral, FL",183365
South,Texas,"Brownsville, TX",183299
South,Texas,"McKinney, TX",181330
Northeast,Rhode Island,"Providence, RI",180393
South,Florida,"Fort Lauderdale, FL",180072
South,Virginia,"Newport News, VA",179388
South,Tennessee,"Chattanooga, TN",179139
Pacific,California,"Rancho Cucamonga, CA",177452
South,Texas,"Frisco, TX",177286
Midwest,South Dakota,"Sioux Falls, SD",176888
Pacific,California,"Oceanside, CA",176193
Pacific,California,"Ontario, CA",175841
Pacific,Washington,"Vancouver, WA",175673
Pacific,California,"Santa Rosa, CA",175269
Pacific,California,"Garden Grove, CA",174226
Pacific,California,"Elk Grove, CA",171844
South,Florida,"Pembroke Pines, FL",170712
Pacific,Oregon,"Salem, OR",169798
Pacific,Oregon,"Eugene, OR",168916
Mountain,Arizona,"Peoria, AZ",168181
Pacific,California,"Corona, CA",167836
